,Sort,Max,2nd Max,
10,24.472,24.472,29.334,
20,70.875,70.875,77.099,
50,257.45,257.45,265.558,
75,443.191,443.191,452.171,
100,649.666,649.666,659.016,
200,1564.195,1564.195,1574.847,
500,477.994,477.994,479.218,
750,7805.666,7805.666,7819.168,
1000,10994.181,10994.181,11008.045,
2000,24763.727,24763.727,24779.207,
5000,71034.485,71034.485,71051.527,
7500,112312.982,112312.982,112330.772,
10000,155945.77,155945.77,155964.11,
