Size, Number optimal, Difference Total, Greedy, DP,Average Difference,Rounded Average Difference
1398,476,3378,13093,9715,2.41630901287554,2
1422,425,3888,10335,6447,2.73417721518987,3
1424,844,1440,10316,8876,1.01123595505618,1
1426,378,3791,10521,6730,2.65848527349229,3
1430,1120,1006,11975,10969,0.703496503496504,1
1440,700,9423,23762,14339,6.54375,7
1442,645,2521,11081,8560,1.74826629680999,2
1444,1134,2080,20586,18506,1.4404432132964,1
1450,401,5825,13711,7886,4.01724137931035,4
1452,610,2000,10378,8378,1.37741046831956,1
1464,1349,19129,132998,113869,13.0662568306011,13
1468,657,1955,8598,6643,1.33174386920981,1
1480,864,918,11140,10222,0.62027027027027,1
1504,785,1353,12616,11263,0.899601063829787,1
1518,706,16281,39645,23364,10.7252964426877,11
1518,694,2512,10671,8159,1.65480895915679,2
1530,1244,9038,45501,36463,5.90718954248366,6
1550,488,4006,13675,9669,2.58451612903226,3
1552,408,10774,21570,10796,6.94201030927835,7
1558,1156,442,11059,10617,0.283697047496791,0
1568,1240,328,13488,13160,0.209183673469388,0
1578,1578,0,60889,60889,0,0
1582,954,1370,11437,10067,0.865992414664981,1
1596,1266,1197,13168,11971,0.75,1
1598,643,7882,19101,11219,4.93241551939925,5
1598,1598,0,61663,61663,0,0
1630,1254,1080,12403,11323,0.662576687116564,1
1634,921,1903,12021,10118,1.16462668298654,1
1656,671,2837,11024,8187,1.71316425120773,2
1660,779,8950,24602,15652,5.39156626506024,5
1670,527,4982,13039,8057,2.98323353293413,3
1674,974,11062,35155,24093,6.60812425328554,7
1680,1228,748,13154,12406,0.445238095238095,0
1712,1368,3784,35684,31900,2.21028037383178,2
1714,527,30782,48949,18167,17.9591598599767,18
1718,636,9288,19599,10311,5.40628637951106,5
1724,890,2858,13076,10218,1.65777262180974,2
1728,835,2262,11218,8956,1.30902777777778,1
1752,772,2116,12818,10702,1.20776255707763,1
1760,952,1693,10468,8775,0.961931818181818,1
1776,1776,0,18226,18226,0,0
1788,1249,6045,32200,26155,3.38087248322148,3
1794,756,1696,14679,12983,0.945373467112598,1
1830,525,6050,15729,9679,3.30601092896175,3
1848,792,5328,41974,36646,2.88311688311688,3
1854,646,6773,18097,11324,3.65318230852211,4
1856,1218,892,13658,12766,0.480603448275862,0
1858,750,5387,18335,12948,2.89935414424112,3
1870,590,6604,15589,8985,3.53155080213904,4
1894,280,35853,47725,11872,18.9297782470961,19
1900,727,10418,25978,15560,5.48315789473684,5
1906,641,3851,14359,10508,2.02046169989507,2
1920,1725,2211,31674,29463,1.1515625,1
1942,355,19422,30159,10737,10.0010298661174,10
1962,1194,3262,22715,19453,1.66258919469929,2
1964,729,2640,14188,11548,1.34419551934827,1
1966,433,63571,83753,20182,32.3351983723296,32
1974,1033,2770,13095,10325,1.403242147923,1
1976,346,45785,59884,14099,23.1705465587045,23
2004,903,4860,16686,11826,2.4251497005988,2
2020,652,4206,14548,10342,2.08217821782178,2
2050,1562,844,15941,15097,0.411707317073171,0
2056,1796,1962,24094,22132,0.954280155642023,1
2058,728,7343,17609,10266,3.56802721088435,4
2086,1250,1442,45169,43727,0.691275167785235,1
2090,794,4702,15743,11041,2.24976076555024,2
2098,771,18447,41303,22856,8.79265967588179,9
2118,344,34563,46801,12238,16.3186968838527,16
2132,2132,0,40514,40514,0,0
2134,1087,6318,21327,15009,2.96063730084349,3
2160,1218,3342,43508,40166,1.54722222222222,2
2168,1140,3669,17218,13549,1.69234317343173,2
2178,1038,5202,20605,15403,2.38842975206612,2
2188,540,15346,27084,11738,7.01371115173675,7
2190,555,10484,21827,11343,4.78721461187215,5
2190,515,6940,17911,10971,3.1689497716895,3
2194,998,4060,17707,13647,1.85050136736554,2
